player_name,team,season,age,position,games_played,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,points_per_minute,assist_rate,rebound_rate,target_next_season_ppg
A.J. Green,MIL,2022-23,23,SG,35,9.857142857142858,4.4,1.2857142857142858,0.6285714285714286,0.4463768115942029,0.06376811594202898,0.13043478260869565,4.5
A.J. Green,MIL,2023-24,24,SG,56,10.964285714285714,4.5,1.1428571428571428,0.5357142857142857,0.41042345276872966,0.048859934853420196,0.10423452768729642,7.410958904109589
A.J. Lawson,2TM,2022-23,22,SG,15,7.2,3.7333333333333334,1.4,0.13333333333333333,0.5185185185185185,0.018518518518518517,0.19444444444444445,2.0
A.J. Lawson,MIN,2022-23,22,SG,1,2.0,2.0,1.0,0.0,1.0,0.0,0.5,3.857142857142857
A.J. Lawson,DAL,2022-23,22,SG,14,7.571428571428571,3.857142857142857,1.4285714285714286,0.14285714285714285,0.5094339622641509,0.018867924528301886,0.18867924528301888,3.238095238095238
A.J. Lawson,DAL,2023-24,23,SG,42,7.404761904761905,3.238095238095238,1.1904761904761905,0.47619047619047616,0.43729903536977494,0.06430868167202572,0.1607717041800643,9.076923076923077
AJ Griffin,ATL,2022-23,19,SF,72,19.458333333333332,8.875,2.125,1.0138888888888888,0.45610278372591007,0.052105638829407566,0.10920770877944326,2.4
AJ Johnson,2TM,2024-25,20,SG,29,22.03448275862069,7.586206896551724,2.0344827586206895,2.6206896551724137,0.3442879499217527,0.1189358372456964,0.09233176838810642,2.857142857142857
AJ Johnson,MIL,2024-25,20,SG,7,6.285714285714286,2.857142857142857,1.0,1.0,0.45454545454545453,0.1590909090909091,0.1590909090909091,9.090909090909092
Aaron Gordon,2TM,2020-21,25,PF,50,27.68,12.36,5.68,3.22,0.44653179190751446,0.11632947976878613,0.20520231213872833,14.56
Aaron Gordon,ORL,2020-21,25,PF,25,29.44,14.56,6.64,4.2,0.4945652173913043,0.14266304347826086,0.22554347826086957,10.16
Aaron Gordon,DEN,2020-21,25,PF,25,25.92,10.16,4.72,2.24,0.39197530864197533,0.08641975308641975,0.18209876543209877,15.013333333333334
Aaron Gordon,DEN,2021-22,26,PF,75,31.68,15.013333333333334,5.8533333333333335,2.506666666666667,0.4739057239057239,0.07912457912457913,0.18476430976430977,16.308823529411764
Aaron Gordon,DEN,2022-23,27,PF,68,30.220588235294116,16.308823529411764,6.5588235294117645,2.985294117647059,0.5396593673965937,0.09878345498783454,0.2170316301703163,13.876712328767123
Aaron Gordon,DEN,2023-24,28,PF,73,31.465753424657535,13.876712328767123,6.4520547945205475,3.547945205479452,0.44101001306051374,0.11275576839355682,0.20505006530256856,14.666666666666666
Aaron Holiday,IND,2020-21,24,PG,66,17.818181818181817,7.196969696969697,1.3484848484848484,1.8636363636363635,0.4039115646258503,0.10459183673469388,0.07568027210884354,6.349206349206349
Aaron Holiday,2TM,2021-22,25,PG,63,16.206349206349206,6.349206349206349,1.9365079365079365,2.4285714285714284,0.3917727717923604,0.14985308521057786,0.11949069539666993,6.121951219512195
Aaron Holiday,WAS,2021-22,25,PG,41,16.170731707317074,6.121951219512195,1.6341463414634145,1.9024390243902438,0.37858220211161386,0.11764705882352941,0.10105580693815988,6.7727272727272725
Aaron Holiday,PHO,2021-22,25,PG,22,16.272727272727273,6.7727272727272725,2.5,3.409090909090909,0.41620111731843573,0.20949720670391062,0.15363128491620112,3.9206349206349205
Aaron Holiday,ATL,2022-23,26,PG,63,13.412698412698413,3.9206349206349205,1.1746031746031746,1.4126984126984128,0.2923076923076923,0.10532544378698225,0.08757396449704143,6.589743589743589
Aaron Holiday,HOU,2023-24,27,PG,78,16.26923076923077,6.589743589743589,1.5769230769230769,1.794871794871795,0.40504334121355395,0.11032308904649331,0.09692671394799054,5.483870967741935
Aaron Nesmith,BOS,2020-21,21,SF,46,14.543478260869565,4.739130434782608,2.760869565217391,0.5,0.32585949177877427,0.0343796711509716,0.1898355754857997,3.769230769230769
Aaron Nesmith,BOS,2021-22,22,SF,52,11.038461538461538,3.769230769230769,1.7115384615384615,0.4230769230769231,0.34146341463414637,0.03832752613240418,0.15505226480836237,10.10958904109589
Aaron Nesmith,IND,2022-23,23,SF,73,24.876712328767123,10.10958904109589,3.7945205479452055,1.3424657534246576,0.4063876651982379,0.053964757709251104,0.15253303964757708,12.180555555555555
Aaron Nesmith,IND,2023-24,24,SF,72,27.708333333333332,12.180555555555555,3.8194444444444446,1.5,0.4395989974937343,0.05413533834586466,0.13784461152882205,12.022222222222222
Aaron Wiggins,OKC,2021-22,23,SG,50,24.18,8.32,3.56,1.36,0.34408602150537637,0.05624483043837883,0.14722911497105046,6.8428571428571425
Aaron Wiggins,OKC,2022-23,24,SG,70,18.52857142857143,6.8428571428571425,3.0,1.1428571428571428,0.36931380107941403,0.06168080185042406,0.16191210485736315,6.948717948717949
Aaron Wiggins,OKC,2023-24,25,SG,78,15.743589743589743,6.948717948717949,2.3846153846153846,1.1025641025641026,0.44136807817589574,0.07003257328990228,0.15146579804560262,12.026315789473685
Abdel Nader,PHO,2020-21,27,SF,24,14.791666666666666,6.666666666666667,2.5833333333333335,0.7916666666666666,0.4507042253521127,0.05352112676056338,0.17464788732394365,2.4285714285714284
Adam Flagler,OKC,2023-24,24,SG,2,7.0,1.5,0.0,2.0,0.21428571428571427,0.2857142857142857,0.0,1.7567567567567568
Adama Sanogo,CHI,2023-24,21,PF,9,7.333333333333333,4.0,4.0,0.0,0.5454545454545454,0.0,0.5454545454545454,2.0
