player_name,team,season,position,age,games_played,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,field_goal_pct,free_throw_pct,true_shooting_pct,points_per_minute,usage_rate,assist_rate,rebound_rate,ppg_lag1,ppg_lag2,ppg_lag3,ppg_lag4,ppg_lag5,mpg_lag1,mpg_lag2,mpg_lag3,mpg_lag4,mpg_lag5,rpg_lag1,rpg_lag2,rpg_lag3,apg_lag1,apg_lag2,apg_lag3,spg_lag1,bpg_lag1,games_lag1,games_lag2,games_lag3,ts_pct_lag1,ts_pct_lag2,ts_pct_lag3,fg_pct_lag1,fg_pct_lag2,ppg_trend_2yr,ppg_trend_3yr,ppg_trend_4yr,mpg_trend_2yr,seasons_in_dataset,years_since_peak_ppg,peak_ppg,career_ppg_avg,career_ppg_std,career_games_avg,career_mpg_avg,ppg_coefficient_variation,target_next_ppg,target_next_rpg,target_next_apg,target_next_mpg,target_next_ts_pct,target_next_games
A.J. Green,MIL,2022-23,SG,23,35,9.857142857142858,4.4,1.2857142857142858,0.6285714285714286,0.17142857142857143,0.0,0.2571428571428571,0.424,1.0,0.6074471442095298,0.4463768115942029,3.8788571428571426,0.06376811594202898,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4.4,4.4,0.0,35.0,9.857142857142858,0.0,4.5,1.1428571428571428,0.5357142857142857,10.964285714285714,0.6165590135055784,56
A.J. Green,MIL,2023-24,SG,24,56,10.964285714285714,4.5,1.1428571428571428,0.5357142857142857,0.16071428571428573,0.07142857142857142,0.21428571428571427,0.423,0.895,0.6165590135055784,0.41042345276872966,3.863571428571429,0.048859934853420196,0.10423452768729642,4.4,0.0,0.0,0.0,0.0,9.857142857142858,0.0,0.0,0.0,0.0,1.2857142857142858,0.0,0.0,0.6285714285714286,0.0,0.0,0.17142857142857143,0.0,35.0,0.0,0.0,0.6074471442095298,0.0,0.0,0.424,0.0,0.0,0.0,0.0,0.0,2,0,4.5,4.45,0.0707106781186545,45.5,10.410714285714285,0.015890040026663933,7.410958904109589,2.3835616438356166,1.4794520547945205,22.726027397260275,0.6205836468752868,73
A.J. Green,MIL,2024-25,SG,25,73,22.726027397260275,7.410958904109589,2.3835616438356166,1.4794520547945205,0.5068493150684932,0.0958904109589041,0.547945205479452,0.429,0.815,0.6205836468752868,0.32610006027727545,6.518904109589041,0.06509945750452079,0.10488245931283907,4.5,4.4,0.0,0.0,0.0,10.964285714285714,9.857142857142858,0.0,0.0,0.0,1.1428571428571428,1.2857142857142858,0.0,0.5357142857142857,0.6285714285714286,0.0,0.16071428571428573,0.07142857142857142,56.0,35.0,0.0,0.6165590135055784,0.6074471442095298,0.0,0.423,0.424,1.5054794520547943,0.0,0.0,6.4344422700587085,3,0,7.410958904109589,5.436986301369863,1.7102414675347122,54.666666666666664,14.515818656229614,0.314556883673555,0.0,0.0,0.0,0.0,0.0,0
A.J. Lawson,DAL,2022-23,SG,22,14,7.571428571428571,3.857142857142857,1.4285714285714286,0.14285714285714285,0.14285714285714285,0.0,0.21428571428571427,0.488,0.25,0.580395528804815,0.5094339622641509,3.5371428571428574,0.018867924528301886,0.18867924528301888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3.857142857142857,3.857142857142857,0.0,14.0,7.571428571428571,0.0,3.238095238095238,1.1904761904761905,0.47619047619047616,7.404761904761905,0.5186089078706528,42
A.J. Lawson,DAL,2023-24,SG,23,42,7.404761904761905,3.238095238095238,1.1904761904761905,0.47619047619047616,0.23809523809523808,0.07142857142857142,0.3333333333333333,0.446,0.652,0.5186089078706528,0.43729903536977494,3.455238095238095,0.06430868167202572,0.1607717041800643,3.857142857142857,0.0,0.0,0.0,0.0,7.571428571428571,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,14.0,0.0,0.0,0.580395528804815,0.0,0.0,0.488,0.0,0.0,0.0,0.0,0.0,2,1,3.857142857142857,3.5476190476190474,0.437732769305958,28.0,7.488095238095238,0.12338776047550494,9.076923076923077,3.3076923076923075,1.1923076923076923,18.692307692307693,0.5419805254455263,26
A.J. Lawson,TOR,2024-25,SG,24,26,18.692307692307693,9.076923076923077,3.3076923076923075,1.1923076923076923,0.5,0.23076923076923078,0.5769230769230769,0.421,0.683,0.5419805254455263,0.48559670781893005,8.95076923076923,0.06378600823045268,0.17695473251028804,3.238095238095238,3.857142857142857,0.0,0.0,0.0,7.404761904761905,7.571428571428571,0.0,0.0,0.0,1.1904761904761905,1.4285714285714286,0.0,0.47619047619047616,0.14285714285714285,0.0,0.23809523809523808,0.07142857142857142,42.0,14.0,0.0,0.5186089078706528,0.580395528804815,0.0,0.446,0.488,2.6098901098901095,0.0,0.0,5.560439560439561,3,0,9.076923076923077,5.39072039072039,3.2073154929766505,27.333333333333332,11.222832722832722,0.5949697369757366,0.0,0.0,0.0,0.0,0.0,0
AJ Griffin,ATL,2022-23,SF,19,72,19.458333333333332,8.875,2.125,1.0138888888888888,0.5833333333333334,0.16666666666666666,0.5833333333333334,0.465,0.894,0.5770481144343304,0.45610278372591007,8.273333333333333,0.052105638829407566,0.10920770877944326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,8.875,8.875,0.0,72.0,19.458333333333332,0.0,2.4,0.9,0.25,8.55,0.38167938931297707,20
AJ Griffin,ATL,2023-24,SF,20,20,8.55,2.4,0.9,0.25,0.05,0.1,0.4,0.29,1.0,0.38167938931297707,0.2807017543859649,3.5439999999999996,0.029239766081871343,0.10526315789473684,8.875,0.0,0.0,0.0,0.0,19.458333333333332,0.0,0.0,0.0,0.0,2.125,0.0,0.0,1.0138888888888888,0.0,0.0,0.5833333333333334,0.16666666666666666,72.0,0.0,0.0,0.5770481144343304,0.0,0.0,0.465,0.0,0.0,0.0,0.0,0.0,2,1,8.875,5.6375,4.578516408182895,46.0,14.004166666666666,0.8121536865956355,0.0,0.0,0.0,0.0,0.0,0
AJ Johnson,WAS,2024-25,SG,20,22,27.045454545454547,9.090909090909092,2.3636363636363638,3.1363636363636362,0.5,0.13636363636363635,1.4090909090909092,0.381,0.886,0.4775549188156638,0.33613445378151263,10.927272727272728,0.11596638655462184,0.08739495798319327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,9.090909090909092,9.090909090909092,0.0,22.0,27.045454545454547,0.0,0.0,0.0,0.0,0.0,0.0,0
Aaron Gordon,ORL,2020-21,PF,25,25,29.44,14.56,6.64,4.2,0.64,0.8,2.68,0.437,0.629,0.5365566037735849,0.4945652173913043,16.248,0.14266304347826086,0.22554347826086954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,14.56,14.56,0.0,25.0,29.44,0.0,10.16,4.72,2.24,25.92,0.5635427760028399,25
