Name,season,minor_count,moderate_count,severe_count,2020_2021,2021_2022,2022_2023,2023_2024,2024_2025,has_severe_injury,total_days_missed,injury_score,games_missed,games_missed_last_season
 Aaron Wiggins,2022_2023,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,4.341176470588235
 Aaron Wiggins,2023_2024,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,82.0
 Aaron Wiggins,2024_2025,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,82.0
 Abdel Nader,2020_2021,0.0,2.0,0.0,30.303030303030305,26.31578947368421,0.0,0.0,0.0,False,94.0,,45.34117647058824,
 Abdel Nader,2021_2022,0.0,2.0,0.0,30.303030303030305,26.31578947368421,0.0,0.0,0.0,False,62.0,,29.905882352941173,45.34117647058824
 Abdel Nader,2022_2023,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,29.905882352941173
 Abdel Nader,2023_2024,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,82.0
 Abdel Nader,2024_2025,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,82.0
 Adam Flagler,2020_2021,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,
 Adam Flagler,2021_2022,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,82.0
 Adam Flagler,2022_2023,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,82.0
 Adam Flagler,2023_2024,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,82.0
 Adam Flagler,2024_2025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,False,2.0,,0.9647058823529412,82.0
 Adam Mokoka,2020_2021,6.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,False,37.0,,17.847058823529412,
 Adam Mokoka,2021_2022,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,17.847058823529412
 Adam Mokoka,2022_2023,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,82.0
 Adam Mokoka,2023_2024,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,82.0
 Adam Mokoka,2024_2025,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,82.0
 Adem Bona,2020_2021,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,
 Adem Bona,2021_2022,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,82.0
 Adem Bona,2022_2023,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,82.0
 Adem Bona,2023_2024,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,82.0
 Adem Bona,2024_2025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,False,14.0,,6.752941176470588,82.0
 Admiral Schofield,2020_2021,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,
 Admiral Schofield,2021_2022,1.0,2.0,0.0,0.0,6.578947368421052,3.787878787878788,3.149606299212599,0.0,False,4.0,,1.9294117647058824,82.0
 Admiral Schofield,2022_2023,1.0,2.0,0.0,0.0,6.578947368421052,3.787878787878788,3.149606299212599,0.0,False,2.0,,0.9647058823529412,1.9294117647058824
 Admiral Schofield,2023_2024,1.0,2.0,0.0,0.0,6.578947368421052,3.787878787878788,3.149606299212599,0.0,False,4.0,,1.9294117647058824,0.9647058823529412
 Admiral Schofield,2024_2025,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,1.9294117647058824
 Al Horford,2020_2021,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,
 Al Horford,2021_2022,4.0,22.0,0.0,0.0,21.05263157894737,53.03030303030303,44.88188976377953,15.0,False,22.0,,10.611764705882354,82.0
 Al Horford,2022_2023,4.0,22.0,0.0,0.0,21.05263157894737,53.03030303030303,44.88188976377953,15.0,False,32.0,,15.435294117647059,10.611764705882354
 Al Horford,2023_2024,4.0,22.0,0.0,0.0,21.05263157894737,53.03030303030303,44.88188976377953,15.0,False,24.0,,11.576470588235294,15.435294117647059
 Al Horford,2024_2025,4.0,22.0,0.0,0.0,21.05263157894737,53.03030303030303,44.88188976377953,15.0,False,5.0,,2.411764705882353,11.576470588235294
 Al-Farouq Aminu,2020_2021,0.0,0.0,1.0,60.60606060606061,0.0,0.0,0.0,0.0,True,48.0,,23.152941176470588,
 Al-Farouq Aminu,2021_2022,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,23.152941176470588
 Al-Farouq Aminu,2022_2023,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,82.0
 Al-Farouq Aminu,2023_2024,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,82.0
 Al-Farouq Aminu,2024_2025,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,82.0
 Alec Burks,2020_2021,4.0,3.0,0.0,28.78787878787879,0.0,13.636363636363638,14.173228346456693,0.0,False,37.0,,17.847058823529412,
 Alec Burks,2021_2022,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,17.847058823529412
 Alec Burks,2022_2023,4.0,3.0,0.0,28.78787878787879,0.0,13.636363636363638,14.173228346456693,0.0,False,26.0,,12.541176470588237,82.0
 Alec Burks,2023_2024,4.0,3.0,0.0,28.78787878787879,0.0,13.636363636363638,14.173228346456693,0.0,False,15.0,,7.235294117647059,12.541176470588237
 Alec Burks,2024_2025,0.0,0.0,0.0,,,,,,True,170.0,100.0,82.0,7.235294117647059
