team,season,wins,losses,ortg,drtg,nrtg,pace,ts_pct,efg_pct,tov_pct,orb_pct,sos,srs,wins_lag1,ortg_lag1,drtg_lag1,wins_lag2,ortg_lag2,drtg_lag2,wins_lag3,ortg_lag3,drtg_lag3,wins_trend_1yr,wins_trend_2yr,target_next_wins,target_next_ortg,target_next_drtg,is_training
GSW,2023-24,46.0,36.0,117.8,115.2,2.6,99.2,0.586,0.557,12.5,27.5,0.16,2.77,44.0,116.1,114.4,53.0,112.5,106.9,39.0,111.1,110.1,2.0,-7.0,48.0,115.0,111.7,True
GSW,2024-25,48.0,34.0,115.0,111.7,3.3,98.7,0.568,0.536,12.3,27.3,0.25,3.56,46.0,117.8,115.2,44.0,116.1,114.4,53.0,112.5,106.9,2.0,4.0,0.0,0.0,0.0,False
HOU,2020-21,17.0,55.0,107.1,114.9,-7.8,101.4,0.553,0.521,13.0,19.8,0.4,-7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,108.4,116.7,True
HOU,2021-22,20.0,62.0,108.4,116.7,-8.3,100.9,0.565,0.534,14.5,21.7,0.22,-8.26,17.0,107.1,114.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22.0,111.4,119.3,True
HOU,2022-23,22.0,60.0,111.4,119.3,-7.9,99.0,0.554,0.516,14.0,30.2,0.24,-7.62,20.0,108.4,116.7,17.0,107.1,114.9,0.0,0.0,0.0,2.0,5.0,41.0,114.5,113.4,True
HOU,2023-24,41.0,41.0,114.5,113.4,1.1,99.0,0.565,0.529,11.2,25.1,0.12,1.24,22.0,111.4,119.3,20.0,108.4,116.7,17.0,107.1,114.9,19.0,21.0,52.0,115.3,110.8,True
HOU,2024-25,52.0,30.0,115.3,110.8,4.5,98.6,0.553,0.523,11.8,31.7,0.45,4.97,41.0,114.5,113.4,22.0,111.4,119.3,20.0,108.4,116.7,11.0,30.0,0.0,0.0,0.0,False
IND,2020-21,34.0,38.0,112.4,112.4,0.0,101.6,0.575,0.542,11.9,20.2,-0.08,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,112.6,116.1,True
IND,2021-22,25.0,57.0,112.6,116.1,-3.5,98.0,0.564,0.531,12.7,25.5,0.22,-3.26,34.0,112.4,112.4,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,35.0,114.6,117.7,True
IND,2022-23,35.0,47.0,114.6,117.7,-3.1,101.1,0.581,0.545,13.0,23.4,0.28,-2.91,25.0,112.6,116.1,34.0,112.4,112.4,0.0,0.0,0.0,10.0,1.0,47.0,121.0,118.0,True
IND,2023-24,47.0,35.0,121.0,118.0,3.0,101.7,0.606,0.578,11.3,23.8,-0.3,2.75,35.0,114.6,117.7,25.0,112.6,116.1,34.0,112.4,112.4,12.0,22.0,50.0,116.5,114.3,True
IND,2024-25,50.0,32.0,116.5,114.3,2.2,99.9,0.594,0.562,11.8,21.3,-0.55,1.68,47.0,121.0,118.0,35.0,114.6,117.7,25.0,112.6,116.1,3.0,15.0,0.0,0.0,0.0,False
LAC,2020-21,47.0,25.0,117.6,111.2,6.4,96.9,0.599,0.564,12.2,22.7,-0.16,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,110.1,110.1,True
LAC,2021-22,42.0,40.0,110.1,110.1,0.0,98.0,0.564,0.531,12.5,20.6,0.06,0.09,47.0,117.6,111.2,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,44.0,115.0,114.5,True
LAC,2022-23,44.0,38.0,115.0,114.5,0.5,98.0,0.588,0.551,12.8,22.9,-0.19,0.31,42.0,110.1,110.1,47.0,117.6,111.2,0.0,0.0,0.0,2.0,-3.0,51.0,118.8,115.4,True
LAC,2023-24,51.0,31.0,118.8,115.4,3.4,97.2,0.599,0.561,12.0,24.4,0.13,3.41,44.0,115.0,114.5,42.0,110.1,110.1,47.0,117.6,111.2,7.0,9.0,50.0,115.1,110.3,True
LAC,2024-25,50.0,32.0,115.1,110.3,4.8,97.5,0.589,0.554,13.4,24.4,0.18,4.84,51.0,118.8,115.4,44.0,115.0,114.5,42.0,110.1,110.1,-1.0,6.0,0.0,0.0,0.0,False
LAL,2020-21,42.0,30.0,109.9,107.1,2.8,98.7,0.569,0.536,13.6,22.5,-0.03,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,110.3,113.3,True
LAL,2021-22,33.0,49.0,110.3,113.3,-3.0,100.1,0.567,0.537,12.8,21.1,-0.03,-3.08,42.0,109.9,107.1,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,43.0,114.5,113.9,True
LAL,2022-23,43.0,39.0,114.5,113.9,0.6,101.3,0.582,0.542,12.3,22.8,-0.15,0.43,33.0,110.3,113.3,42.0,109.9,107.1,0.0,0.0,0.0,10.0,1.0,47.0,115.9,115.3,True
LAL,2023-24,47.0,35.0,115.9,115.3,0.6,100.9,0.601,0.566,12.5,19.9,0.48,1.07,43.0,114.5,113.9,33.0,110.3,113.3,42.0,109.9,107.1,4.0,14.0,50.0,115.9,114.7,True
LAL,2024-25,50.0,32.0,115.9,114.7,1.2,97.6,0.593,0.557,12.7,23.3,0.23,1.45,47.0,115.9,115.3,43.0,114.5,113.9,33.0,110.3,113.3,3.0,7.0,0.0,0.0,0.0,False
