player_id,name,season,salary,years_remaining,total_contract_value,avg_salary,salary_cap,cap_hit_percent,luxury_tax_limit,luxury_tax_risk,year_index,npv_salary
283,Amir Coffey,2023/2024,3666667.0,3,11000000.0,3666666.6666666665,136021000,2.6956624344770295,165294000,2.218269870654712,2,3143575.9602194782
283,Amir Coffey,2024/2025,3938271.0,3,11000000.0,3666666.6666666665,141000000,2.7931,172000000,2.289692441860465,3,3126326.4936747444
290,Andre Drummond,2022/2023,3200000.0,2,6560000.0,3280000.0,123655000,2.587845214508107,150267000,2.1295427472432404,1,2962962.9629629627
290,Andre Drummond,2023/2024,3360000.0,2,6560000.0,3280000.0,136021000,2.470206806301968,165294000,2.032741660314349,2,2880658.4362139916
302,Andre Iguodala,2022/2023,2905851.0,1,2905851.0,2905851.0,123655000,2.349966438882374,150267000,1.9337918505060991,1,2690602.7777777775
350,Andrew Nembhard,2022/2023,2244111.0,3,6395715.0,2131905.0,123655000,1.8148162225546887,150267000,1.4934157200183673,1,2077880.5555555555
350,Andrew Nembhard,2023/2024,2131905.0,3,6395715.0,2131905.0,136021000,1.5673351908896422,165294000,1.2897655087298996,2,1827764.9176954732
350,Andrew Nembhard,2024/2025,2019699.0,3,6395715.0,2131905.0,141000000,1.4324106382978723,172000000,1.1742436046511628,3,1603302.1833561955
313,Andrew Nicholson,2022/2023,2844429.0,2,5688858.0,2844429.0,123655000,2.30029436739315,150267000,1.8929166084369822,1,2633730.5555555555
313,Andrew Nicholson,2023/2024,2844429.0,2,5688858.0,2844429.0,136021000,2.0911690106674703,165294000,1.720830157174489,2,2438639.403292181
29,Andrew Wiggins,2022/2023,33616770.0,3,84223913.0,28074637.666666668,123655000,27.185936678662408,150267000,22.371358981013795,1,31126638.888888888
29,Andrew Wiggins,2023/2024,24330357.0,3,84223913.0,28074637.666666668,136021000,17.887206387249027,165294000,14.71944353697049,2,20859359.56790123
29,Andrew Wiggins,2024/2025,26276786.0,3,84223913.0,28074637.666666668,141000000,18.636018439716313,172000000,15.2772011627907,3,20859359.91718742
58,Anfernee Simons,2022/2023,22321429.0,3,72321429.0,24107143.0,123655000,18.051376005822654,150267000,14.854511635954667,1,20667989.814814813
58,Anfernee Simons,2023/2024,24107143.0,3,72321429.0,24107143.0,136021000,17.723103785444895,165294000,14.584402942635547,2,20667989.54046639
58,Anfernee Simons,2024/2025,25892857.0,3,72321429.0,24107143.0,141000000,18.363728368794327,172000000,15.053986627906976,3,20554584.698724784
15,Anthony Davis,2022/2023,37980720.0,3,121800240.0,40600080.0,123655000,30.715070154866364,150267000,25.27548962846134,1,35167333.33333333
15,Anthony Davis,2023/2024,40600080.0,3,121800240.0,40600080.0,136021000,29.848391057263218,165294000,24.562343460742678,2,34808024.69135802
15,Anthony Davis,2024/2025,43219440.0,3,121800240.0,40600080.0,141000000,30.65208510638298,172000000,25.127581395348837,3,34308984.910836756
135,Anthony Edwards,2022/2023,10733400.0,3,41863480.0,13954493.333333334,123655000,8.680118070437912,150267000,7.1428856635189355,1,9938333.333333332
135,Anthony Edwards,2023/2024,13534817.0,3,41863480.0,13954493.333333334,136021000,9.9505348438844,165294000,8.188329279949667,2,11603924.03978052
135,Anthony Edwards,2024/2025,17595263.0,3,41863480.0,13954493.333333334,141000000,12.478909929078014,172000000,10.229804069767443,3,13967687.058629273
405,Anthony Gill,2022/2023,1836090.0,2,3833328.0,1916664.0,123655000,1.4848489749706846,150267000,1.2218850446205753,1,1700083.3333333333
405,Anthony Gill,2023/2024,1997238.0,2,3833328.0,1916664.0,136021000,1.4683306254181339,165294000,1.208294311953247,2,1712309.670781893
477,Anthony Lamb,2022/2023,694878.0,2,2456630.0,1228315.0,123655000,0.5619489709271763,150267000,0.46242887659965265,1,643405.5555555555
477,Anthony Lamb,2023/2024,1761752.0,2,2456630.0,1228315.0,136021000,1.2952058873262218,165294000,1.065829370697061,2,1510418.3813443072
565,Armoni Brooks,2022/2023,50000.0,1,50000.0,50000.0,123655000,0.04043508147668917,150267000,0.03327410542567563,1,46296.29629629629
431,Austin Reaves,2022/2023,1563518.0,1,1563518.0,1563518.0,123655000,1.2644195544054022,150267000,1.0404932553388302,1,1447701.8518518517
302,Austin Rivers,2022/2023,2905851.0,1,2905851.0,2905851.0,123655000,2.349966438882374,150267000,1.9337918505060991,1,2690602.7777777775
431,Ayo Dosunmu,2022/2023,1563518.0,1,1563518.0,1563518.0,123655000,1.2644195544054022,150267000,1.0404932553388302,1,1447701.8518518517
431,BJ Boston,2022/2023,1563518.0,2,3399614.0,1699807.0,123655000,1.2644195544054022,150267000,1.0404932553388302,1,1447701.8518518517
431,BJ Boston,2023/2024,1836096.0,2,3399614.0,1699807.0,136021000,1.349862153638041,165294000,1.110806199862064,2,1574156.378600823
42,Bam Adebayo,2022/2023,30351780.0,3,97800180.0,32600060.0,123655000,24.5455339452509,150267000,20.19856655153826,1,28103500.0
42,Bam Adebayo,2023/2024,32600060.0,3,97800180.0,32600060.0,136021000,23.966931576741825,165294000,19.722470265103393,2,27949296.98216735
42,Bam Adebayo,2024/2025,34848340.0,3,97800180.0,32600060.0,141000000,24.71513475177305,172000000,20.260662790697676,3,27663735.838032816
22,Ben Simmons,2022/2023,35448672.0,3,113680224.0,37893408.0,123655000,28.667398811208606,150267000,23.590456986563915,1,32822844.444444444
22,Ben Simmons,2023/2024,37893408.0,3,113680224.0,37893408.0,136021000,27.858498320112336,165294000,22.924853896693165,2,32487489.711934153
22,Ben Simmons,2024/2025,40338144.0,3,113680224.0,37893408.0,141000000,28.608612765957446,172000000,23.45240930232558,3,32021719.250114307
194,Bennedict Mathurin,2022/2023,6586800.0,3,20748600.0,6916200.0,123655000,5.326755893413125,150267000,4.383397552356804,1,6098888.888888888
194,Bennedict Mathurin,2023/2024,6916080.0,3,20748600.0,6916200.0,136021000,5.084567824085987,165294000,4.184108316091328,2,5929423.8683127565
